ID,title,technique,data,region,exclude,rationale,observations,disturbance,system,goal,intervention,paradigm,grazing,hypothesis,soil,benchmark,comment,notes
195,Effects of regenerating vegetation on soil enzyme activity and microbial structure in reclaimed soils on a surface coal mine site,"planting, microbial ",App.supplementary data,China,no, ,,mining,grassland,soil,added vegetation,active,,vegetation and soil,"chemical, enzyme and microbial meassures",not clear,active restoration,
197,Evaluating nurse plants for restoring native woody species to degraded subtropical woodlands,planting,"field data, App.",Hawai,no, ,subtropical woodlands,exotics,woodland,vegetation,added vegetation,active,,facilitation,physicochemical properties,not clear,active restoration,
202,Restoring for the present or restoring for the future: Enhanced performance of two sympatric oaks (Quercus ilex and Quercus pyrenaica) above the current forest limit,planting,"field data, App.",Spain,no, ,success,anthropogenic disturbance,forest,vegetation,added vegetation,active,,native vegetation,physicochemical properties,not clear,active restoration,human exploitation
204,"Response of temporal variation of soil moisture to vegetation restoration in semi-arid Loess Plateau, China",planting,field data,China,no, ,,anthropogenic disturbance,grassland,soil,added vegetation,active,,vegetation cover,moisture,not clear,active restoration,
206,"Arid old-field restoration: Native perennial grasses suppress weeds and erosion, but also suppress native shrubs","seeding, irrigation",App.supplementary data,"Nevada, USA",no, ,,agriculture,agriculture,vegetation,added vegetation,active,cattle,perennial vegetation,water addition,native vegetation,active restoration,
207,Effects of fencing on vegetation and soil restoration in a degraded alkaline grassland in northeast China,grazing exclusion,field data,China,no, ,,grazing,grassland,"vegetation, soil",vegetation,passive,livestock,fencing,chemical composition,pre-disturbance condition,passive restoration,
209,Assessing degradation of abandoned farmlands for conservation of the monte desert biome in Argentina,natural recovery,field data,Argentina,no, ,,agriculture,agriculture,"vegetation, soil",vegetation,passive,livestock,native vegetation,physicochemical properties,not clear,passive restoration,
210,Long-term outcome of nitrogen immobilization to restore endemic sand grassland in Hungary,carbon amendment,field data,Hungary,no, ,,agriculture,agriculture,soil,resources,active,,native vegetation and soil,chemical and microbia properties,native grasslands,active restoration,
211,Restoration of exotic annual grass-invaded rangelands: Importance of seed mix composition,"seeding, herbicide",field data,"Oregon, USA",no, ,,exotics,rangeland,vegetation,added vegetation,active,,perennial vegetation,,perennial vegetation,active restoration,
212,Effectiveness of Low-Cost Planting Techniques for Improving Water Availability to Olea europaea Seedlings in Degraded Drylands,planting,"field data, App.",Spain,no, ,,stressful soil,shrubland,vegetation,resources,active,,vegetation,moisture,not clear,active restoration,
213,"Potential of Native Shrubs Haloxylon salicornicum and Calligonum Polygonoides for Restoration of Degraded Lands in Arid Western Rajasthan, India",planting,field data,India,no, ,,desertification,shrubland,soil,added vegetation,active,cattle,native vegetation and soil,physiochemical properties,native vegetation and soil retention,active restoration,
214,Restoring abandoned agricultural lands in cold desert shrublands: Tradeoffs between water availability and invasive species,"planting, irrigation, mulch",field data,"Nevada, USA",no, ,,agriculture,agriculture,vegetation,resources,active,,native vegetation,mulch and water addition,not clear,active restoration,
218,"Effects of vegetation restoration types on soil quality in Yuanmou dry-hot valley, China",planting,field data,China,no, ,,soil erosion,savannah,soil,added vegetation,active,,vegetation and soil,chemical and microbia properties,not clear,active restoration,
219,"Abiotic and biotic recovery pathways of arid rangelands: Lessons from the High Atlas Mountains, Morocco",grazing exclusion,field data,Morocco,no, ,,grazing,rangeland,vegetation,vegetation,passive,livestock,vegetation and soil,chemical composition,soil and vegetation recovery,passive restoration,
220,Nurse effect and herbivory exclusion facilitate plant colonization in abandoned mine tailings storage facilities in north-central Chile,nurse plants,field data,Chile,no, ,,mining,shrubland,vegetation,vegetation,passive,unreported animal,facilitation,physicochemical properties,vegetation cover,passive restoration,
221,Ecosystem Services from Keystone Species: Diversionary Seeding and Seed-Caching Desert Rodents Can Enhance Indian Ricegrass Seedling Establishment,seed caching rodents,field data,USA,no, ,,exotics,rangeland,vegetation,vegetation,passive,,seed dispersal,,not clear,passive restoration,
223,Role of nurse shrubs in restoration of an arid rangeland: Effects of microclimate on grass establishment,nurse plants,App.supplementary data,Iran,no, ,,grazing,rangeland,vegetation,vegetation,passive,unreported animal,facilitation,no,not clear,passive restoration,
229,Influence of Grazing on Soil Seed Banks Determines the Restoration Potential of Aboveground Vegetation in a Semi-arid Savanna of Ethiopia,soil seed bank,"field data, App.",Africa,no, ,,grazing,rangeland,seed,seed,passive,livestock,native perennial grasses,seed bank,original light grazing situation,passive restoration,
230,Active restoration of woody canopy dominants in degraded South African semi-arid thicket is neither ecologically nor economically feasible,planting,"field data, App.",Africa,no, ,,browsing,forest,vegetation,added vegetation,active,goat,native woody vegetation,,intact site,active restoration,costs
231,Plant volatiles inhibit restoration of plant species communities in dry grassland,grazing exclusion,App.supplementary data,Mongolia,no, ,,grazing,grassland,vegetation,vegetation,passive,sheep and goats,palatable grasses,,not clear,passive restoration,
232,Seasonal priority effects: Implications for invasion and restoration in a semi-arid system,irrigation,field and experiments,"California, USA",no, ,suggest pre-growing season watering event ,exotics,shrubland,vegetation,resources,active,,native vegetation,water addition,native vegetation,active restoration,
233,Soil moisture enhancement techniques aid shrub transplant success in an arid shrubland restoration,"planting, mycorrhiza, hydrogel, wood obstruction",field data,USA,no, ,,exotics,shrubland,vegetation,resources,active,,native perennial vegetation,,not clear,active restoration,
235,Supplementing seed banks to rehabilitate disturbed Mojave Desert shrublands: Where do all the seeds go?,"seeding, tackifier, harrowed",field data,"California, USA",no, ,,anthropogenic disturbance,shrubland,seed,seed,active,,vegetation,seed bank,pre-disturbance conditions,active restoration,military training area
238,Land restoration by fodder shrubs in a semi-arid agro-pastoral area of Morocco. Effects on soils,planting,field data,Morocco,no, ,,grazing,rangeland,soil,added vegetation,active,livestock,palatable vegetation,chemical properties,rangeland rehabilitation,active restoration,
239,Can native vegetation recover after slash pine cultivation in the Brazilian Savanna?,natural recovery,field data,Brazil,no, ,,agriculture,savannah,vegetation,vegetation,passive,cattle,natural regeneration,moisture,native vegetation recovery,natural regeneration,forestry
240,The roles of exotic grasses and forbs when restoring native species to highly invaded southern California annual grassland,"seeding, mechanical control",experiments,"California, USA",no, ,,exotics,grassland,vegetation,removed veg,active,,native vegetation,,native vegetation,active restoration,
241,Spatio-temporal variation in the effect of herbaceous layer on woody seedling survival in a Chilean mediterranean ecosystem,planting,field data,Chile,no, ,,exotics,mediterranean,vegetation,added vegetation,active,cattle,facilitation,moisture,not clear,passive restoration,
242,"A comparison of soil qualities of different revegetation types in the Loess Plateau, China",planting,experiments,China,no, ,,agriculture,agriculture,soil,added vegetation,active,,soil quality,physicochemical and microbial properties,not clear,active restoration,
243,Demographic processes limiting seedling recruitment in arid grassland restoration,seeding,"experiments, App.","Oregon, USA",no, ,,exotics,steppe,vegetation,added vegetation,active,,native vegetation,physicochemical properties,not clear,active restoration,
244,Using hydrogel and clay to improve the water status of seedlings for dryland restoration,"planting, clay and hydrogel ",field and experiments,Spain,no, ,,anthropogenic disturbance,woodland,vegetation,resources,active,,native vegetation,no,not clear,active restoration,
245,"Drought tolerance in two perennial bunchgrasses used for restoration in the Intermountain West, USA",planting,experiments,USA,no, ,,exotics,grassland,vegetation,resources,active,,native perennial grasses,water content,not clear,active restoration,
246,Does shelter enhance early seedling survival in dry environments? A test with eight Mediterranean species,shelters,experiments,Spain,no, ,,anthropogenic disturbance,shrubland,vegetation,added vegetation,active,unreported animal,seedlings protection,,not clear,active restoration,deforestation
247,Changes in soil physico-chemical and microbiological properties during natural succession on abandoned farmland in the Loess Plateau,natural recovery,lab,China,no, ,,agriculture,agriculture,soil,soil,passive,unreported animal,vegetation and soil,physicochemical and microbial properties,soil properties of native forests,passive restoration,
248,The effects of restoration on soil properties in degraded land in the semi-arid region of Turkey,planting,experiments and lab,Turkey,no, ,,soil erosion,forest,soil,added vegetation,active,,resources,physicochemical properties,not clear,active restoration,
250,"Using hydrogel filled, embedded tubes to sustain grass transplants for arid land restoration","planting, irrigation, hydrogels",experiments,USA,no, ,,anthropogenic disturbance,rangeland,vegetation,resources,active,,vegetation cover,water addition,not clear,active restoration,
251,"Vegetation restoration of secondary bare saline-alkali patches in the Songnen plain, China","seeding, constructing safe sites, retaining seed movement",experiments,China,no, ,costs,grazing,grassland,vegetation,added vegetation,active,unreported animal,vegetation,seed bank,not clear,active restoration,
252,Potential of kochia prostrata and perennial grasses for rangeland restoration in Jordan,seeding,experiments,Jordan,no, ,research note,grazing,rangeland,vegetation,added vegetation,active,livestock,forage,,not clear,active restoration,
253,"Limitations to postfire seedling establishment: The role of seeding technology, water availability, and invasive plant abundance","seeding, irrigation",experiments,USA,no, ,,wildfire,rangeland,vegetation,added vegetation,active,,native vegetation,texture and microtopography,not clear,active restoration,
254,Salinity tolerance and mycorrhizal responsiveness of native xeroriparian plants in semi-arid western USA,"planting, fungal inoculation",experiments,USA,no, ,riparian,exotics,xeroriparian,vegetation,resources,active,,native vegetation,mycorrhizal inoculation,not clear,active restoration,
255,The effects of exclosures in restoring degraded semi-arid vegetation in communal grazing lands in northern Ethiopia,grazing exclusion,field data,Africa,no, ,,grazing,rangeland,vegetation,vegetation,passive,livestock,vegetation cover,,not clear,passive restoration,
256,"Differences of arbuscular mycorrhizal fungal diversity and community between a cultivated land, an old field, and a never-cultivated field in a hot and arid ecosystem of southwest China",mycorrhizal fungi,lab,China,no, ,,agriculture,agriculture,soil,soil,passive,unreported animal,soil fungal,physicochemical properties,fungi of non-cultivated fields,passive restoration,
259,Restoration of species diversity in semi-arid sandy land degraded by overgrazing and cultivation,grazing exclusion,field data,China,no, ,,grazing,rangeland,vegetation,vegetation,passive,unreported animal,natural regeneration,,not clear,passive restoration,
262,Revegetation of bare patches in a semi-arid rangeland of South Africa: An evaluation of various techniques," seeding, hollows-dyker plough, furrows-ripper/sub-soiler and walking-stick planter",eperiments,Africa,no, ,,grazing,rangeland,"vegetation, soil",added vegetation,active,unreported animal,rangeland ecosystem,,stable vegetation to deliver animal production.,active restoration,
263,The importance of phytogenic mounds (Nebkhas) for restoration of arid degraded rangelands in Northern Sinai,phytogenic mounds (nebkhas),"field data, App.",Africa,no, ,,grazing,rangeland,vegetation,vegetation,passive,unreported animal,vegetation and soil,temperature and moisture,not clear,passive restoration,
264,"Evaluation of restoration techniques for the Succulent Karoo, South Africa","seeding, gypsum (CaSO4) and organic mulch",field data,Africa,no, ,,grazing,rangeland,"vegetation, soil",added vegetation,active,livestock,soil hydraulic conductivity and infiltration,gypsum and mulching addition,not clear,active restoration,
267,Potential for using facilitation by grasses to establish shrubs on a semiarid degraded steppe,facilitation ,field data,Spain,no, ,,anthropogenic disturbance,steppe,vegetation,resources,passive,,facilitation,"temperature, moisture, chemical properties",not clear,passive restoration,
268,The effects of irrigation on revegetation of semi-arid coastal sage scrub in Southern California,irrigation,field data,"California, USA",no, ,,anthropogenic disturbance,shrubland,vegetation,resources,active,,native vegetation,water addition,not clear,active restoration,
269,"Restoring the vegetation of mined peatlands in the Southern Rocky Mountains of Colorado, U.S.A.","seeding, planting",field data,USA,no, ,,mining,steppe,vegetation,added vegetation,active,livestock,vegetation,no,not clear,active restoration,
271,Patch creation by fossorial rodents: A key process in the revegetation of phytotoxic arid soils,natural recovery,"field data, App.",Africa,no, ,,mining,shrubland,animal,vegetation,passive,sheep,natural regeneration,"ph, electrical conductivity, microbial",not clear,passive restoration,rodents
274,Atwell Island Restoration Project Activities 2000-2010,"seeding, micro-topographic relief, fire, grazing","field data, App.","California, USA",no, ,grey literature,agriculture,agriculture,vegetation,added vegetation,active,livestock,native vegetation,"fallowing, disking, micro-topography",native vegetation,active restoration,
275,Central Valley Project Improvement Act Land Retirement Demonstration Project,"irrigation, planting, weed control","field data, App.","California, USA",no, ,grey literature,agriculture,agriculture,vegetation,added vegetation,active,,native vegetation,"salt-remediation products, seed coatings, and mycorrhizal inoculation",native vegetation,active restoration,
276,"Efficacy of habitat reclamation for endangered species at the Elk hills oil field, California","seeding, ripped, disked, fertilization",field data,"California, USA",no, ,"grey literature, success-costs",anthropogenic disturbance,grassland,vegetation,added vegetation,active,,habitat for endangered species,"ripped, disked",undisturbed sites,active restoration,oil and gas fields
277,Restoration efforts of Atriplex canescens,"seeding, grazing",field data,"California, USA",no, ,grey literature,exotics,shrubland,vegetation,added vegetation,active,sheep,native species,,not clear,active restoration,solar power plant installation
278,"California Valley Solar Ranch San Luis Obispo County, CA","seeding, tillage, weed suppression",field data,"California, USA",no, ,grey literature,anthropogenic disturbance,shrubland,vegetation,added vegetation,active,livestock,native shrubland habitat,tillage,valley saltbush scrub community,active restoration,solar power plant installation
7,"Ecosystem water imbalances created during ecological restoration by afforestation in China, and lessons for other developing countries",afforestation-water balance,afforestation-natural vegetation,China,yes ,not drylands,, ,,,,, , , , , ,
8,Application of a Gondwanan perspective to restore ecological integrity in the south-western Australian global biodiversity hotspot,conservation emphasizes,no,Australia,yes ,no data,, ,,,,, , , , , ,
10,"Linking the soil moisture distribution pattern to dynamic processes along slope transects in the Loess Plateau, China",soil moisture-land cover type,field data,China,yes ,not restoration,, ,,,,, , , , , ,
14,Interaction of ecological and social factors affects vegetation recovery in China,impacts of climate change and human activities on ecological restoration,remote sensing,China,yes ,not drylands,, ,,,,, , , , , ,
17,The restoration of vegetation cover in the semi-arid Iberian southeast,restoration of vegetation,App.supplementary data,Iberian,yes ,review,, ,,,,, , , , , ,
18,Transformation of the soil-vegetation cover in carrier rocket first-stage impact areas,effects of rockets on vegetation,field data,Kazakhstan,yes ,no data, , ,,,,, , , , , ,
22,El Niño as a window of opportunity for the restoration of degraded arid ecosystems,El Niño,no,South,yes ,review,, ,,,,, , , , , ,
24,Seed germination traits of desert perennials,germination requirements of species required for restoration,experiments,Australia,yes ,not restoration, , ,,,,, , , , , ,
25,Soil organic carbon dynamics in Xilingol grassland of northern China induced by the Beijing-Tianjin Sand Source Control Program,restoration program-evaluation of carbon sequestration,database,China,yes ,not drylands, , ,,,,, , , , , ,
26,"Social–ecological dynamics of change and restoration attempts in the Chihuahuan Desert grasslands of Janos Biosphere Reserve, Mexico",social perception of a Biosphere Reserve,synthesis and interviews,Mexico,yes ,no data,, ,,,,, , , , , ,
27,"Relative contribution of climate change and human activities to vegetation degradation and restoration in North Xinjiang, China",climate change and human activities on veg restor and degradation,"geo-spatial, meteorological data",China,yes ,no data ,, ,,,,, , , , , ,
33,"Climax and ""original capacity"": The science and aesthetics of ecological restoration in the southwestern USA",history of restoration practices,no,USA,yes ,no data,, ,,,,, , , , , ,
36,Rangeland degradation and restoration management in China,background of rangeland restoration,no,China,yes ,no data,, ,,,,, , , , , ,
38,"Degraded ecosystems in China: Status, causes, and restoration efforts",review,no,China,yes ,review,, ,,,,, , , , , ,
47,Rehabilitation of degraded dryland ecosystems – review,current state-of-knowledge about rehabilitation of degraded drylands,no,drylands,yes ,review,, ,,,,, , , , , ,
49,Seed germination of seven desert plants and implications for vegetation restoration,seed germination responses and implications for vegetation restoration,lab,China,yes ,not restoration, , ,,,,, , , , , ,
56,Plasticity tradeoffs in salt tolerance mechanisms among desert Distichlis spicata genotypes,salinity tolerance of diverse genotypes used for restoration,experiments,"California, USA",yes ,not restoration, , ,,,,, , , , , ,
57,Resistance to invasion and resilience to fire in desert shrublands of North America,"settlements, species introduction and fire",no,USA,yes ,no data,, ,,,,, , , , , ,
60,Transplant survivorship of bryophyte soil crusts in the mojave desert,transplant experiments for restoration of biological soil crusts,experiments,USA,yes ,not restoration, , ,,,,, , , , , ,
62,"China's primary programs of terrestrial ecosystem restoration: Initiation, implementation, and challenges",restoration programs in China,no,China,yes ,no data ,, ,,,,, , , , , ,
67,"Restoring the Great Basin Desert, U.S.A.: Integrating science, management, and people",Great Basin Restoration,no,USA,yes ,no data,, ,,,,, , , , , ,
70,El Niño effects on the dynamics of terrestrial ecosystems,El Niño,no,South,yes ,review,, ,,,,, , , , , ,
72,Anthropogenic degradation of the southern California desert ecosystem and prospects for natural recovery and restoration,degradation of californian deserts,no,"California, USA",yes ,no data,, ,,,,, , , , , ,
75,Vegetation restoration in the Chihuahuan and Sonoran deserts of North America.,restoration efforts,no,USA,yes ,no data,, ,,,,, , , , , ,
79,Restoring at landscape scales: Interview with Andrew Bennett,interview about conservation of Australian native fauna,no,Australia,yes ,no data,, ,,,,, , , , , ,
81,Factors affecting soil seed banks of riparian communities in an agricultural ecosystem: potential for conservation of native plant diversity,effects of land use an N to seed bank,"field data, App.",Canada,yes ,not drylands,, ,,,,, , , , , ,
83,Incorporating resilience and cost in ecological restoration strategies at landscape scale,restoration costs,no,Brazil,yes ,not drylands, , ,,,,, , , , , ,
90,Soil disturbance as a restoration measure in dry sandy grasslands,soil disturbance as a restoration measure,literature,drylands,yes ,review,, ,,,,, , , , , ,
92,Planning for Implementation: Landscape-Level Restoration Planning in an Agricultural Setting,framework for identifying and prioritizing restoration opportunities,GIS algorithm,Canada,yes ,not drylands, , ,,,,, , , , , ,
94,Ecological restoration of cleared agricultural land in Gondwana Link: lifting the bar at 'Peniup',"peniup, restoration project",summary of results,Australia,yes ,no data,, ,,,,, , , , , ,
97,"Unexpected outcomes and adaptive restoration in Michoacán, Mexico: A cautionary tale from sites with complex disturbance histories",mulch to restore volcanic lands,no data,Mexico,yes ,no data, , ,,,,, , , , , ,
99,Ensuring the future of the Namib's biodiversity: Ecological restoration as a key management response to a mining boom,analyses of Namibia deserts degradation,no data,Africa,yes ,no data,, ,,,,, , , , , ,
102,Assessing the restoration potential of altered rangeland ecosystems in the Interior Columbia Basin,restoration of Columbia Basin,report,USA,yes ,no data,, ,,,,, , , , , ,
103,"Remediation of metalliferous mines, revegetation challenges and emerging prospects in semi-arid and arid conditions","remediation of metal-polluted sites, phytoremediation",no data,drylands,yes ,review,, ,,,,, , , , , ,
113,Restoration of floral diversity through plantations on abandoned agricultural land,compare diversity of tree plantations with native stands,field data,Canada,yes ,not drylands, , ,,,,, , , , , ,
116,Remote sensing for restoration planning: how the big picture can inform stakeholders,remotely sensed data for restoration planning,remotely sensed data,Hawai,yes ,not restoration, , ,,,,, , , , , ,
117,Rainwater harvesting for restoring degraded dry agro-pastoral ecosystems: A conceptual review of opportunities and constraints in a changing climate,review of micro-catchment rainwater harvesting,conceptual review,Jordan-Syria,yes ,review,, ,,,,, , , , , ,
122,Connectivity in dryland landscapes: Shifting concepts of spatial interactions,connectivity in drylands,conceptual review,drylands,yes ,review,, ,,,,, , , , , ,
123,Effects of wildfire on soil nutrients in Mediterranean ecosystems,changes in soil nutrient status of Mediterranean drylands affected by wildfires,review,Mediterranean,yes ,review,, ,,,,, , , , , ,
124,Ecotechnology as a tool for restoring degraded drylands: A meta-analysis of field experiments,ecotechnological tools on the establishment of seedlings employed in restoration,meta-analysis,drylands,yes ,review,, ,,,,, , , , , ,
125,"Ecohydrological interactions in a degraded two-phase mosaic dryland: Implications for regime shifts, resilience, and restoration",ecohydrological dynamics that govern the spread of a shrub into grasslands,field data,"Kenya, Africa",yes ,review,, ,,,,, , , , , ,
131,Weather-Centric Rangeland Revegetation Planning,weather-centric approach to restoration,no data,USA,yes ,not restoration,, ,,,,, , , , , ,
136,Plant functional diversity mediates the effects of vegetation and soil properties on community-level plant nitrogen use in the restoration of semiarid sandy grassland,N use along a restoration gradient ,"field data, App.",China,yes ,not restoration,, ,,,,, , , , , ,
137,Plant functional diversity enhances associations of soil fungal diversity with vegetation and soil in the restoration of semiarid sandy grassland,soil fungal diversity along a restoration gradient,"field data, App.",China,yes ,not restoration,, ,,,,, , , , , ,
138,Changes in carbon and nitrogen storage along a restoration gradient in a semiarid sandy grassland,C and N storage along a restoration gradient,field data,China,yes ,not restoration,, ,,,,, , , , , ,
140,The fate of seeds in the soil: A review of the influence of overland flow on seed removal and its consequences for the vegetation of arid and semiarid patchy ecosystems,transport of seeds by runoff,review,drylands,yes ,review,, ,,,,, , , , , ,
144,Restoration and Science: A Practitioner/Scientist's View from Rare Habitat Restoration at a Southern California Preserve,coastal sage scrub (CSS) restoration project,no data,"California, USA",yes ,review,, ,,,,, , , , , ,
150,Germination requirements of two sheep-preferred grasses (Hordeum comosum and Koeleria vurilochensis var. patagonica) from semiarid Patagonian steppes,germination conditions of palatable species,lab,Argentina,yes ,not restoration,, ,,,,, , , , , ,
156,The role of plant interactions in the restoration of degraded ecosystems: A meta-analysis across life-forms and ecosystems,facilitation meta-analysis for restoring ,meta-analysis,degraded habitats,yes ,not drylands, , ,,,,, , , , , ,
158,"Above- and belowground dynamics of plant community succession following abandonment of farmland on the Loess Plateau, China",aboveground and belowground characteristics of a secondary succession on abandoned croplands,field data,China,yes ,not drylands,, ,,,,, , , , , ,
159,Restoration ecology and invasive plants in the semiarid west,invasive plants focus,review,USA,yes ,review,, ,,,,, , , , , ,
163,Some Mediterranean plant species (Lavandula spp. and Thymus satureioides) act as potential 'plant nurses' for the early growth of Cupressus atlantica,mycorrhizal status of shrub species and their influence on the growth of a tree species,lab,Morocco,yes ,not restoration,, ,,,,, , , , , ,
165,Can the restoration of natural vegetation be accelerated on the Chinese Loess Plateau? A study of the response of the leaf carbon isotope ratio of dominant species to changing soil carbon and nitrogen levels,analyses of C and water use efficiency to accelerate restoration,lab,China,yes ,not restoration,, ,,,,, , , , , ,
172,Long-term trends in restoration and associated land treatments in the southwestern United States,"seeding, vegetation/soil manipulation, prescribed burn and invasive species treatments","dataset, App.",USA,yes ,review,, ,,,,, , , , , ,
173,Effects of propagule pressure and priority effects on seedling recruitment during restoration of invaded grassland,propagule pressure,experiments,"Oregon, USA",yes ,not restoration,, ,,,,, , , , , ,
174,Restoration islands: a tool for efficiently restoring dryland ecosystems?,restoration islands,no data,drylands,yes ,review,, ,,,,, , , , , ,
175,Increasing the germination envelope under water stress improves seedling emergence in two dominant grass species across different pulse rainfall events,seed dormancy and soil moisture for grass recruitment,Dryad,Australia,yes ,not restoration,, ,,,,, , , , , ,
176,"Non-trophic interactions in deserts: Facilitation, interference, and an endangered lizard species",positive non-thropic interactions of a foundation shrub species,"field data, App.","California, USA",yes ,not restoration,suggest planting shrubs, ,,,,, , , , , ,
177,"Challenges and limitations to native species restoration in the Great Basin, USA",describe past and future restoration practices,no data,USA,yes ,review,, ,,,,, , , , , ,
178,"Impacts on ecosystems, corrective restoration practices, and prospects for recovery: Nine case studies in the continental United States",restoration case studies,no data,USA,yes ,review,, ,,,,, , , , , ,
181,Changes in grass plant populations and temporal soil seed bank dynamics in a semi-arid African savanna: Implications for restoration,grazing and soil seed bank,field data,Africa,yes ,not restoration,, ,,,,, , , , , ,
183,Toward quantitative dryland restoration models,improve seedling establishment in restoration,no data,drylands,yes ,review,, ,,,,, , , , , ,
184,"Plant recruitment from the soil seed bank depends on topsoil stockpile age, height, and storage history in an arid environment",soil seed bank analysis of stockpiled topsoil,field and experiments,Australia,yes ,not restoration,, ,,,,, , , , , ,
185,Improving saltland revegetation through understanding the “recruitment niche”: potential lessons for ecological restoration in extreme environments,"recruitment niche, requirements for seed establishments","review, App.",Australia,yes ,review,, ,,,,, , , , , ,
186,Setting the scene for dryland recovery: an overview and key findings from a workshop targeting seed-based restoration,synthesis of seed and restoration technologies,no data,drylands,yes ,review,, ,,,,, , , , , ,
187,Emerging seed enhancement technologies for overcoming barriers to restoration,Seed enhancement technologies,no data,USA,yes ,review,, ,,,,, , , , , ,
189,To what extent can and should revegetation serve as restoration?,revegatation,no data,drylands,yes ,review,, ,,,,, , , , , ,
190,Interacting effects of grazing and habitat conditions on seedling recruitment and establishment,effects of grazing on seedling recruitment,"field data, App.",Czech Republic,yes ,not restoration,, ,,,,, , , , , ,
191,Effects of biological soil crust and water availability on seedlings of three perennial Patagonian species,biological soil crusts and germination of native plants,experiments,Argentina,yes ,not restoration,short communication, ,,,,, , , , , ,
192,Can biochar be used as a seed coating to improve native plant germination and growth in arid conditions?,effect of biochar seed coating on the germination and growth of native species ,experiments,USA,yes ,not restoration,, ,,,,, , , , , ,
196,Limitations to the use of facilitation as a restoration tool in arid grazed savanna: A case study,facilitation,"field data, App.",Tunisia,yes ,not restoration,a case study, ,,,,, , , , , ,
198,Plant-soil feedbacks and the partial recovery of soil spatial patterns on abandoned well pads in a sagebrush shrubland,"revegetation, soil spatial patterns (carbon) ","field data, App.",USA,yes ,not restoration,, ,,,,, , , , , ,
199,Effect of scarification and temperature on seed germination of two Mexican species of Mimosa (Leguminosae-Mimosoideae),scarification and temperature on seed germination of plants ,experiments,Mexico,yes ,not restoration,, ,,,,, , , , , ,
200,Endemic shrubs in temperate arid and semiarid regions of northern China and their potentials for rangeland restoration,niches of nurse endemic plants,field data,China,yes ,not restoration,, ,,,,, , , , , ,
201,Assisting Non-Soil Experts to Identify Soil Types for Land Management to Support Restoration of Arid Rangeland Native Vegetation in Kuwait,soil identification key,dataset,Kuwait,yes ,not restoration,, ,,,,, , , , , ,
203,How can we take advantage of halophyte properties to cope with heavy metal toxicity in salt-affected areas?,Halophytic plant species to extract or stabilize pollutants,no data,drylands,yes ,review,, ,,,,, , , , , ,
205,"Densities of ecological replacement herbivores required to restore plant communities: A case study of giant tortoises on Pinta Island, Galápagos",tortoise replacements and interaction with woody plants,"field data, App.",Galapagos Archipelago,yes ,model,, ,,,,, , , , , ,
208,Evaluating the effect of rainfall variability on vegetation establishment in a semidesert grassland,vegetation establishment based on a land surface model,model,"Arizona, USA",yes ,not restoration,, ,,,,, , , , , ,
215,Annual-perennial plant relationships and species selection for desert restoration,exotic annual plant abundance among native perennial plants and interspace,no data,USA,yes ,review,, ,,,,, , , , , ,
216,"Recovery of plant species, richness and composition in abandoned grassland in arid region",vegetative cover types after cultivation abandonment,field data,Jordan,yes ,not restoration, , ,,,,, , , , , ,
217,Testing the stress-gradient hypothesis during the restoration of tropical degraded land using the shrub rhodomyrtus tomentosa as a nurse plant,nurse plants,field data,China,yes ,not drylands,, ,,,,, , , , , ,
222,"Influence of vegetation factors on biological soil crust cover on rehabilitated grassland in the hilly Loess Plateau, China",grassland effect on biotic soil crusts,field data,China,yes ,not restoration,, ,,,,, , , , , ,
224,"Ecohydrological feedback as a land restoration tool in the semi-arid Brigalow Belt, QLD, Australia",plant community traits and soil water dynamics,App.supplementary data,Australia,yes ,not restoration,, ,,,,, , , , , ,
225,Grazing exclosure and plantation: A synchronic study of two restoration techniques improving plant community and soil properties in arid degraded steppes (Algeria),grazing exclosure and plantations,"field data, App.",Algeria,yes ,review, , ,,,,, , , , , ,
226,Tailoring conservation agriculture technologies to West Africa semi-arid zones: Building on traditional local practices for soil restoration,Conservation Agriculture,no data,Africa,yes ,no data,, ,,,,, , , , , ,
227,The role of ex situ seed banks in the conservation of plant diversity and in ecological restoration in Latin America,ex situ seed banks for the conservation and reintroduction of threatened species,no data,Latin America,yes ,no data,, ,,,,, , , , , ,
228,"Effects of seed beetles on the performance of desert legumes depend on host species, plant stage, and beetle density",effects of Bruchine seed beetles on the germination and growth of two legumes,experiments,USA,yes ,not restoration,, ,,,,, , , , , ,
234,Grass seedling demography and sagebrush steppe restoration,"Seeding, evaluation of establishment",field data,USA,yes ,not restoration, , ,,,,, , , , , ,
236,Ecology and functional roles of biological soil crusts in semi-arid ecosystems of Spain,Biological soil crusts,review,Spain,yes ,review,, ,,,,, , , , , ,
237,Ecological and functional roles of mycorrhizas in semi-arid ecosystems of Southeast Spain,mycorrhizal inoculation,review,Spain,yes ,review,, ,,,,, , , , , ,
249,"Are we ""missing the boat"" on preventing the spread of invasive plants in rangelands?",restoring native plant communities invaded by exotic plants,no data,invaded areas,yes ,no data,, ,,,,, , , , , ,
257,Restoring degraded landscapes in lowland Namaqualand: Lessons from the mining experience and from regional ecological dynamics,restoration in the Namaqualand coastline,no data,Africa,yes ,no data,, ,,,,, , , , , ,
258,"Phytomass and plant functional diversity in early restoration of the degraded, semi-arid grasslands in northern China",grazing exclusion,experiments,China,yes ,not restoration,, ,,,,, , , , , ,
